,route_id,opt_dist,actu_dist,opt_time,actu_time,dwell_time,todest_time,inride_time,num_stops,stops_bool,dist_ratio,time_ratio,dwell_ratio,todest_ratio,inride_mph
0,10177.0,2066,1938.8338388680243,1525,240.0,15.0,225.0,225.0,0,0,1.065588994055427,6.354166666666667,0.0625,1.0,19.275799855633057
1,10179.0,2091,11922.944588030785,1553,1965.0,405.0,960.0,1560.0,1,1,0.17537614006015886,0.7903307888040713,0.20610687022900764,0.6153846153846154,17.096738247916402
2,10182.0,1945,1932.7790768237965,1432,195.0,15.0,180.0,180.0,0,0,1.006322979859802,7.343589743589743,0.07692307692307693,1.0,24.019504600612354
3,10191.0,945,998.3412109606271,699,150.0,0.0,135.0,150.0,0,0,0.9465701602067484,4.66,0.0,0.9,14.888195922975102
4,10207.0,729,825.7637312062479,558,135.0,15.0,90.0,120.0,0,0,0.8828191072706733,4.133333333333334,0.1111111111111111,0.75,15.393199340704204
5,10214.0,1930,1973.5386437276627,1434,255.0,0.0,240.0,255.0,0,0,0.9779387934125141,5.623529411764705,0.0,0.9411764705882353,17.312500132157485
6,10218.0,10,5835.262059100785,7,1350.0,690.0,375.0,660.0,4,1,0.0017137190924277018,0.005185185185185185,0.5111111111111111,0.5681818181818182,19.777471379522595
7,10219.0,1778,1859.452909843311,1303,255.0,0.0,255.0,255.0,0,0,0.9561952284932159,5.109803921568627,0.0,1.0,16.311704282921163
8,10248.0,1868,1928.4049853829674,1380,270.0,0.0,255.0,270.0,0,0,0.9686761931021604,5.111111111111111,0.0,0.9444444444444444,15.97676388149102
9,10249.0,1015,952.3155683574722,768,375.0,90.0,270.0,285.0,2,1,1.0658231721976825,2.048,0.24,0.9473684210526315,7.474641359584435
10,10257.0,699,4770.664185746947,530,615.0,90.0,300.0,525.0,1,1,0.1465204786554384,0.8617886178861789,0.14634146341463414,0.5714285714285714,20.327027702218622
11,10351.0,235,9942.477909478595,182,1380.0,45.0,690.0,1335.0,0,0,0.023635958977184582,0.1318840579710145,0.03260869565217391,0.5168539325842697,16.659720250808277
12,10352.0,245,10039.287550902847,186,1470.0,15.0,735.0,1455.0,0,0,0.024404122180758415,0.12653061224489795,0.01020408163265306,0.5051546391752577,15.434559377399736
13,10353.0,291,238.56593846751116,201,30.0,0.0,15.0,30.0,0,0,1.2197885493181144,6.7,0.0,0.5,17.78858967985048
14,10360.0,3492,14537.583969908525,2585,1605.0,75.0,975.0,1530.0,0,0,0.24020497540912727,1.6105919003115265,0.04672897196261682,0.6372549019607843,21.254707899115804
15,10361.0,2036,2469.8301955815955,1503,525.0,180.0,315.0,345.0,0,0,0.8243481692151564,2.862857142857143,0.34285714285714286,0.9130434782608695,16.01409263102694
16,10367.0,224,10865.531651906975,173,1440.0,165.0,645.0,1275.0,1,1,0.020615650220915466,0.12013888888888889,0.11458333333333333,0.5058823529411764,19.063170488954345
17,10369.0,1061,929.4373549383683,804,165.0,0.0,150.0,165.0,0,0,1.1415508472546336,4.872727272727273,0.0,0.9090909090909091,12.60057937427778
18,10370.0,1008,843.7294798329048,763,120.0,0.0,105.0,120.0,0,0,1.1946957219032195,6.358333333333333,0.0,0.875,15.728101855145152
19,10374.0,1044,1938.7891656482427,777,735.0,390.0,240.0,345.0,2,1,0.5384804178286885,1.0571428571428572,0.5306122448979592,0.6956521739130435,12.570884162913567
20,10375.0,2025,2145.693366449896,1492,525.0,165.0,360.0,360.0,0,0,0.9437508786963412,2.841904761904762,0.3142857142857143,1.0,13.33274255318453
21,10376.0,2047,2082.739845882275,1509,390.0,60.0,330.0,330.0,0,0,0.9828399855349504,3.8692307692307693,0.15384615384615385,1.0,14.118072941963323
22,10378.0,321,497.3651661318822,238,270.0,165.0,90.0,105.0,1,1,0.6454010490852974,0.8814814814814815,0.6111111111111112,0.8571428571428571,10.595962235495739
23,10383.0,595,1118.8004361616615,459,270.0,105.0,135.0,165.0,1,1,0.531819599607329,1.7,0.3888888888888889,0.8181818181818182,15.167814834348286
24,10391.0,73,2546.403995543851,56,495.0,120.0,165.0,375.0,1,1,0.028667878360129944,0.11313131313131314,0.24242424242424243,0.44,15.189741210111634
25,10393.0,256,788.3133738542165,184,90.0,0.0,60.0,90.0,0,0,0.32474395144200907,2.0444444444444443,0.0,0.6666666666666666,19.59344131677168
26,10399.0,2023,1922.1485712231452,1500,240.0,0.0,225.0,240.0,0,0,1.052468071556341,6.25,0.0,0.9375,17.91554593713293
27,10415.0,373,2983.3119148118994,273,1680.0,1290.0,195.0,390.0,1,1,0.12502883059196243,0.1625,0.7678571428571429,0.5,17.111512191588027
28,10427.0,244,10044.491538504768,189,1515.0,210.0,600.0,1305.0,2,1,0.02429192150390542,0.12475247524752475,0.13861386138613863,0.45977011494252873,17.217566974822113
29,10432.0,1596,2542.5827531767395,1193,450.0,60.0,315.0,390.0,0,0,0.6277081829513453,2.651111111111111,0.13333333333333333,0.8076923076923077,14.583602727926092
30,10436.0,964,3548.3363360385883,731,975.0,330.0,405.0,645.0,5,1,0.2716766136877044,0.7497435897435898,0.3384615384615385,0.627906976744186,12.306070517113428
31,10438.0,1971,20928.240222397675,1485,2460.0,270.0,1125.0,2190.0,3,1,0.09417896483673817,0.6036585365853658,0.10975609756097561,0.5136986301369864,21.376811727438472
32,10439.0,1867,2159.407178934489,1404,480.0,90.0,345.0,390.0,1,1,0.8645891419705427,2.925,0.1875,0.8846153846153846,12.385805884219783
33,10440.0,1046,975.1085094652358,806,180.0,15.0,165.0,165.0,0,0,1.0727011300246392,4.477777777777778,0.08333333333333333,1.0,13.21975290401918
34,10441.0,17,9251.439242493918,13,1350.0,135.0,525.0,1215.0,1,1,0.0018375519261819523,0.00962962962962963,0.1,0.43209876543209874,17.032851439592054
35,16114.0,2011,2020.6580683660416,1490,270.0,45.0,225.0,225.0,0,0,0.9952203351387148,5.518518518518518,0.16666666666666666,1.0,20.089292708669927
36,16119.0,561,556.8953457086725,413,75.0,30.0,45.0,45.0,0,0,1.0073706026149387,5.506666666666667,0.4,1.0,27.683143880656843
